transaction_id,customer_id,account_id,amount,status,city,channel
TXN00035,C009,A5169,3145.55,SUCCESS,Madinah,ATM
TXN00036,C029,A7317,295.17,FAILED,Dammam,ATM
TXN00037,C001,A2566,3439.97,SUCCESS,Jeddah,BRANCH
TXN00038,C030,A3976,1312.14,FAILED,Riyadh,ATM
TXN00039,C024,A6630,1868.23,SUCCESS,Madinah,ATM
TXN00040,C015,A5239,4770.37,FAILED,Dammam,MOBILE
TXN00041,C018,A6679,1461.52,FAILED,Riyadh,BRANCH
TXN00042,C021,A5222,1698.26,FAILED,Dammam,BRANCH
TXN00043,C023,A3272,2392.78,FAILED,Riyadh,ATM
TXN00044,C007,A6150,3410.57,SUCCESS,Jeddah,BRANCH
TXN00045,C013,A5188,433.55,FAILED,Riyadh,MOBILE
TXN00046,C008,A8385,2815.57,SUCCESS,Riyadh,BRANCH
TXN00047,C025,A3953,507.78,SUCCESS,Riyadh,ATM
TXN00048,C007,A2963,754.34,SUCCESS,Jeddah,MOBILE
TXN00049,C018,A6440,944.93,SUCCESS,Dammam,BRANCH
TXN00050,C001,A1893,3616.57,FAILED,Jeddah,BRANCH
TXN00051,C003,A2951,1906.29,SUCCESS,Madinah,MOBILE
TXN00052,C002,A6060,1200.21,FAILED,Riyadh,BRANCH
TXN00053,C019,A9100,4528.19,SUCCESS,Jeddah,MOBILE
TXN00054,C006,A5203,2713.04,SUCCESS,Riyadh,MOBILE
TXN00055,C005,A3227,590.51,SUCCESS,Madinah,ATM
TXN00056,C019,A6623,1682.11,FAILED,Dammam,ATM
TXN00057,C028,A1311,2633.53,FAILED,Madinah,ATM
TXN00058,C005,A7938,4248.22,FAILED,Riyadh,BRANCH
TXN00059,C025,A8659,3273.25,FAILED,Jeddah,MOBILE
TXN00060,C001,A2745,268.07,SUCCESS,Riyadh,ATM
TXN00061,C013,A2842,766.36,FAILED,Dammam,MOBILE
TXN00062,C026,A1180,4578.62,FAILED,Madinah,ATM
TXN00063,C029,A7474,3512.71,FAILED,Madinah,MOBILE
TXN00064,C026,A8550,13.08,SUCCESS,Jeddah,BRANCH
TXN00065,C019,A7015,4653.62,SUCCESS,Jeddah,MOBILE
TXN00066,C013,A4228,509.02,FAILED,Jeddah,MOBILE
TXN00067,C012,A2315,4301.02,FAILED,Riyadh,ATM
TXN00068,C029,A7725,1124.1,SUCCESS,Jeddah,MOBILE
TXN00069,C008,A1277,4856.98,FAILED,Madinah,MOBILE
TXN00070,C019,A9445,3780.84,FAILED,Jeddah,MOBILE
TXN00071,C020,A2075,2075.53,SUCCESS,Jeddah,ATM
TXN00072,C016,A2123,3492.89,SUCCESS,Madinah,MOBILE
TXN00073,C007,A1821,2549.19,FAILED,Jeddah,MOBILE
TXN00074,C010,A2169,2489.36,SUCCESS,Jeddah,MOBILE
TXN00075,C007,A9136,2029.04,SUCCESS,Madinah,MOBILE
TXN00076,C021,A6410,2206.31,SUCCESS,Madinah,MOBILE
TXN00077,C006,A3463,4294.51,SUCCESS,Dammam,BRANCH
TXN00078,C014,A2451,10.37,FAILED,Madinah,BRANCH
TXN00079,C015,A5778,706.24,SUCCESS,Jeddah,BRANCH
TXN00080,C028,A4762,2738.35,FAILED,Jeddah,ATM
TXN00081,C021,A2227,35.65,SUCCESS,Dammam,MOBILE
TXN00082,C008,A9603,1360.93,SUCCESS,Dammam,BRANCH
TXN00083,C013,A6615,2106.86,SUCCESS,Dammam,MOBILE
TXN00084,C018,A5166,3734.21,SUCCESS,Riyadh,MOBILE
TXN00085,C001,A7729,3112.09,FAILED,Dammam,ATM
TXN00086,C028,A2951,2837.31,FAILED,Jeddah,BRANCH
TXN00087,C015,A6763,1966.71,SUCCESS,Dammam,ATM
TXN00088,C024,A4755,3278.72,FAILED,Riyadh,BRANCH
TXN00089,C022,A6444,4508.23,FAILED,Dammam,MOBILE
TXN00090,C017,A6699,1079.75,SUCCESS,Dammam,BRANCH
TXN00091,C018,A1461,1577.28,FAILED,Jeddah,MOBILE
TXN00092,C016,A6707,4226.6,FAILED,Madinah,ATM
TXN00093,C020,A8292,3690.06,FAILED,Dammam,MOBILE
TXN00094,C021,A7307,3059.26,SUCCESS,Dammam,BRANCH
TXN00095,C016,A9050,4781.01,SUCCESS,Jeddah,BRANCH
TXN00096,C026,A5918,4807.41,FAILED,Jeddah,BRANCH
TXN00097,C017,A3849,2685.14,SUCCESS,Dammam,BRANCH
TXN00098,C015,A6355,3158.26,FAILED,Madinah,BRANCH
TXN00099,C001,A5661,3106.07,SUCCESS,Madinah,BRANCH
TXN00100,C014,A7141,4255.89,FAILED,Riyadh,ATM
